Sex;AgeStart;PopulationOct2022;PopulationOct2023;PopulationOct2024;Scenario1;Scenario2;Scenario3;expos0;expos1;expos2;expos3
Males;10;139675.5;142064.5;143397.25;1841;2230.75981248544;2766.80686582809;140870;141810.375;141615.495093757;141347.471567086
Males;15;116956.75;121760.75;126540.25;2254;2731.19642441183;3387.49737945493;119358.75;123023.5;122784.901787794;122456.751310273
Males;20;96639;98844;102160.25;2268;2748.16037735849;3408.53773584906;97741.5;99368.125;99128.0448113208;98797.8561320755
Males;25;97276;96949.5;95918.25;2481;3006.25480433264;3728.65172955975;97112.75;95193.375;94930.7475978337;94569.5491352201
Males;30;84733;88382.75;91505;2624;3179.52946657349;3943.56394129979;86557.875;88631.875;88354.1102667133;87972.0930293501
Males;35;61081.75;65327.75;70080;1892;2292.55706964826;2843.45387840671;63204.75;66757.875;66557.5964651759;66282.1480607966
Males;40;47855;49569.25;51494;1301;1576.43591311437;1955.25026205451;48712.125;49881.125;49743.4070434428;49553.9998689728
Males;45;40217.5;41634;42880.5;908;1100.23351968321;1364.61740041929;40925.75;41803.25;41707.1332401584;41574.9412997904
Males;50;30407.25;31681.25;33446.5;763;924.535435592826;1146.69942348008;31044.25;32182.375;32101.6072822036;31990.52528826
Males;55;28471;28723.25;28556.25;639;774.283280922432;960.341981132076;28597.125;28320.25;28252.6083595388;28159.579009434
Males;60;19443.5;21018.75;22739;610;739.143664104356;916.758385744235;20231.125;21573.875;21509.3031679478;21420.4958071279
Males;65;12873.75;13495.5;14216.25;480;581.621243885395;721.383647798742;13184.625;13615.875;13565.0643780573;13495.1831761006
Males;70;9034.5;9347.75;9607;356;431.369089215001;535.026205450734;9191.125;9299.375;9261.6904553925;9209.86189727463
Males;75;4622;5048.25;5505;212;256.882716049383;318.611111111111;4835.125;5170.625;5148.18364197531;5117.31944444444
Males;80;3222.5;3324.25;3458.25;160;193.873747961798;240.461215932914;3273.375;3311.25;3294.3131260191;3271.01939203354
