lt_label,ref_period,sex,x,n,nMx,nqx,npx,lx,ndx,nLx,Tx,ex
Adjusted,2018.5,Males,5,5,0.000181758443029214,0.00090837945105931,0.999091620548941,98216.2861507887,89.2176560987375,490858.386613697,7091951.73483309,72.2074923902643
Adjusted,2018.5,Males,10,5,0.000221593007509541,0.00110735158412796,0.998892648415872,98127.0684946899,108.661164743428,490363.689561591,6601093.34821939,67.2708708155957
Adjusted,2018.5,Males,15,5,0.000171051969613121,0.000854894269693998,0.999145105730306,98018.4073299465,83.7953747509034,489882.548212855,6110729.6586578,62.3426744538713
Adjusted,2018.5,Males,20,5,0.000264053216879094,0.00131939510808891,0.998680604891911,97934.6119551956,129.21444792627,489350.023656162,5620847.11044495,57.3938773864387
Adjusted,2018.5,Males,25,5,0.000293361014577786,0.00146573010271386,0.998534269897286,97805.3975072693,143.356315334299,488668.596748011,5131497.08678879,52.4663997854248
Adjusted,2018.5,Males,30,5,0.000369139904023625,0.00184399778720266,0.998156002212797,97662.041191935,180.088587851623,487859.984490046,4642828.49004077,47.539744545337
Adjusted,2018.5,Males,35,5,0.000741289844329133,0.00369959304476508,0.996300406955235,97481.9526040834,360.643553844186,486508.154135807,4154968.50555073,42.6229511674419
Adjusted,2018.5,Males,40,5,0.00106589606329054,0.00531531637944272,0.994684683620557,97121.3090502392,516.230484787655,484315.969039227,3668460.35141492,37.7719409601171
Adjusted,2018.5,Males,45,5,0.0014864823015701,0.00740489340038876,0.992595106599611,96605.0785654516,715.35030871335,481237.017055475,3184144.38237569,32.9604243344037
Adjusted,2018.5,Males,50,5,0.00248286820935545,0.0123377584760401,0.98766224152396,95889.7282567382,1183.06430756475,476490.980514779,2702907.36532022,28.1876632091747
Adjusted,2018.5,Males,55,5,0.00584847939535721,0.02882099942358,0.97117900057642,94706.6639491735,2729.54070708831,466709.467978147,2226416.38480544,23.5085504226007
Adjusted,2018.5,Males,60,5,0.00963711285391466,0.047051951844761,0.952948048155239,91977.1232420852,4327.70317360624,449066.35827641,1759706.91682729,19.132006468562
Adjusted,2018.5,Males,65,5,0.0197554925584692,0.0941285720315732,0.905871427968427,87649.4200684789,8250.31475044144,417621.313466291,1310640.55855088,14.9532142657294
Adjusted,2018.5,Males,70,5,0.0388724035608309,0.177146720757268,0.822853279242732,79399.1053180375,14065.2911381513,361832.298744809,893019.245084592,11.2472205008804
Adjusted,2018.5,Males,75,5,0.0726223032512914,0.307316445930307,0.692683554069693,65333.8141798862,20078.1555728337,276473.681967346,531186.946339783,8.13035260542489
Adjusted,2018.5,Males,80,Inf,0.177672955974843,1,0,45255.6586070524,45255.6586070524,254713.264372437,254713.264372437,5.6283185840708
Adjusted,2018.5,Both,0,1,0.0143324526896079,0.0141441186148549,0.985855881385145,1e+05,1414.41186148549,98685.9606040102,7603913.79098346,76.0391379098346
Adjusted,2018.5,Both,1,4,0.000585634020635295,0.00233920600462561,0.997660793995374,98585.5881385145,230.61199974316,393781.767481665,7505227.83037945,76.1290567119655
Adjusted,2018.5,Both,5,5,0.00028980633065829,0.00144798256700495,0.998552017432995,98354.9761387714,142.416290827128,491418.839966789,7111446.06289778,72.3038766525048
Adjusted,2018.5,Both,10,5,0.000373856901020335,0.00186753902422135,0.998132460975779,98212.5598479442,183.415788184711,490604.25976926,6620027.22293099,67.4050980157765
Adjusted,2018.5,Both,15,5,0.000566782427683715,0.0028299022911918,0.997170097708808,98029.1440597595,277.412899378285,489452.188050352,6129422.96316173,62.5265376123776
Adjusted,2018.5,Both,20,5,0.000788688251637946,0.00393568119438921,0.996064318805611,97751.7311603813,384.719650046902,487796.856676789,5639970.77511138,57.6968889262727
Adjusted,2018.5,Both,25,5,0.000912143480169431,0.00455034099117803,0.995449659008822,97367.0115103343,443.053103663977,485727.424792512,5152173.91843459,52.9149846392045
Adjusted,2018.5,Both,30,5,0.000853465376985653,0.00425824123128388,0.995741758768716,96923.9584066704,412.725595986528,483587.978043386,4666446.49364208,48.1454386547314
Adjusted,2018.5,Both,35,5,0.000954720396208964,0.00476223547270148,0.995237764527299,96511.2328106838,459.609216405189,481407.141012406,4182858.5155987,43.3406391544472
Adjusted,2018.5,Both,40,5,0.00129519826039426,0.00645508974943592,0.993544910250564,96051.6235942787,620.021850880105,478708.063344193,3701451.37458629,38.5360625471693
Adjusted,2018.5,Both,45,5,0.00192334756297791,0.00957071827073461,0.990429281729265,95431.6017433985,913.348974411013,474874.636280965,3222743.3112421,33.7701898780613
Adjusted,2018.5,Both,50,5,0.00418316789247201,0.0206993671422997,0.9793006328577,94518.2527689875,1956.46801571395,467700.093805653,2747868.67496113,29.0723600411574
Adjusted,2018.5,Both,55,5,0.00812274368231047,0.0398053958425475,0.960194604157453,92561.7847532736,3684.45848199674,453597.777561376,2280168.58115548,24.6340170215315
Adjusted,2018.5,Both,60,5,0.0129233804669517,0.0625945687664251,0.937405431233575,88877.3262712769,5563.23791106344,430478.536578726,1826570.8035941,20.551594880554
Adjusted,2018.5,Both,65,5,0.0211368057056408,0.100379759827569,0.899620240172432,83314.0883602134,8363.04817985105,395662.82135144,1396092.26701538,16.7569770550605
Adjusted,2018.5,Both,70,5,0.0384696980411569,0.175472550158054,0.824527449841946,74951.0401803624,13151.850157447,341875.575508194,1000429.44566394,13.3477726694186
Adjusted,2018.5,Both,75,5,0.0588990119337867,0.256697052737543,0.743302947262457,61799.1900229154,15863.6699404497,269336.775263453,658553.870155742,10.6563511578638
Adjusted,2018.5,Both,80,Inf,0.118020304568528,1,0,45935.5200824657,45935.5200824657,389217.09489229,389217.09489229,8.47311827956989
Adjusted,2019.5,Females,0,1,0.0126476627670848,0.0125010164019407,0.987498983598059,1e+05,1250.10164019407,98840.5259703335,7701155.81152044,77.0115581152044
Adjusted,2019.5,Females,1,4,0.000500028804600301,0.00199762945511763,0.998002370544882,98749.8983598059,197.26570565342,394508.683976926,7602315.28555011,76.9855504848243
Adjusted,2019.5,Females,5,5,0.000369310981570658,0.00184485159796705,0.998155148402033,98552.6326541525,181.814981835873,492308.625816173,7207806.60157318,73.1366215945474
Adjusted,2019.5,Females,10,5,0.000372196122543506,0.00185925059805894,0.998140749401941,98370.8176723166,182.896001588802,491396.848357611,6715497.97575701,68.2671765332584
Adjusted,2019.5,Females,15,5,0.00053237233301937,0.0026583236202278,0.997341676379772,98187.9216707278,261.015271398373,490287.070175143,6224101.1273994,63.3896819638556
Adjusted,2019.5,Females,20,5,0.000922998578370006,0.00460436832829675,0.995395631671703,97926.9063993295,450.891546313153,488507.303130865,5733814.05722426,58.5519778787122
Adjusted,2019.5,Females,25,5,0.000822660974742085,0.0041048625980452,0.995895137401955,97476.0148530163,400.125647576645,486379.76014614,5245306.75409339,53.8112556407109
Adjusted,2019.5,Females,30,5,0.000879076537303109,0.00438574417450948,0.995614255825491,97075.8892054397,425.750015568085,484315.070988278,4758926.99394725,49.0227494478679
Adjusted,2019.5,Females,35,5,0.00114194358798675,0.00569346390343885,0.994306536096561,96650.1391898716,550.274078739875,481875.010752508,4274611.92295897,44.2276851206742
Adjusted,2019.5,Females,40,5,0.00163248413501334,0.00812924352236687,0.991870756477633,96099.8651111317,781.219205954997,478546.277540771,3792736.91220647,39.4666205599818
Adjusted,2019.5,Females,45,5,0.00251016017212527,0.0124725307358793,0.987527469264121,95318.6459051767,1188.86474075471,473621.067673997,3314190.63466569,34.7695941669447
