lt_label,ref_period,sex,x,n,nMx,nqx,npx,lx,ndx,nLx,Tx,ex
Lee-Carter Projected,2023.25,Females,45,5,0.00177110939319648,0.00881650945918648,0.991183490540813,97007.135435076,855.264327171932,482897.51635745,3328301.47680407,34.3098624846169
Lee-Carter Projected,2023.25,Females,50,5,0.00349073541555919,0.0173026793884823,0.982697320611518,96151.8711079041,1663.68499838274,476600.143043564,2845403.96044662,29.5928090390818
Lee-Carter Projected,2023.25,Females,55,5,0.00463325866330327,0.0229010273580038,0.977098972641996,94488.1861095214,2163.8765351023,467031.239209851,2368803.81740305,25.0698411614905
Lee-Carter Projected,2023.25,Females,60,5,0.00984727594985939,0.0480533922156121,0.951946607784388,92324.3095744191,4436.49625901515,450530.307224557,1901772.5781932,20.5988280547092
Lee-Carter Projected,2023.25,Females,65,5,0.0175463957665585,0.084045250752773,0.915954749247227,87887.8133154039,7386.55330820602,420972.683306505,1451242.27096864,16.5124403056947
Lee-Carter Projected,2023.25,Females,70,5,0.0270391104338215,0.126635288305808,0.873364711694192,80501.2600071979,10194.3002699923,377020.549361009,1030269.58766214,12.7981796504802
Lee-Carter Projected,2023.25,Females,75,5,0.0601314332139452,0.261366335240071,0.738633664759929,70306.9597372056,18375.8724083846,305595.117665066,653249.038301131,9.29138510245437
Lee-Carter Projected,2023.25,Females,80,Inf,0.149375813837532,1,0,51931.0873288209,51931.0873288209,347653.920636065,347653.920636065,6.6945241957821
Lee-Carter Projected,2023.25,Males,0,1,0.0133556227623681,0.0131936591505281,0.986806340849472,1e+05,1319.36591505281,98787.3001901762,7362679.71462301,73.6267971462301
Lee-Carter Projected,2023.25,Males,1,4,0.000554440595838184,0.00221483164468453,0.997785168355315,98680.6340849472,218.560991088876,394200.916616618,7263892.41443284,73.6101108570083
Lee-Carter Projected,2023.25,Males,5,5,0.000356908410090446,0.00178295117477958,0.99821704882522,98462.0730938583,175.553068893927,491871.482797057,6869691.49781622,69.7699254338037
Lee-Carter Projected,2023.25,Males,10,5,0.000367714265224838,0.00183688270618767,0.998163117293812,98286.5200249644,180.540808885225,490981.248102609,6377820.01501916,64.8900786537078
Lee-Carter Projected,2023.25,Males,15,5,0.000500140181343846,0.00249757805886103,0.997502421941139,98105.9792160792,245.027341133156,489917.327727563,5886838.76691655,60.0048928103632
Lee-Carter Projected,2023.25,Males,20,5,0.000601674463227749,0.00300385396059037,0.99699614603941,97860.951874946,293.9600078767,488569.859355038,5396921.43918899,55.1488753766219
Lee-Carter Projected,2023.25,Males,25,5,0.000675920976328322,0.00337390365101702,0.996626096348983,97566.9918670693,329.181630079054,487012.005260149,4908351.57983395,50.3075013988477
Lee-Carter Projected,2023.25,Males,30,5,0.000664907169340805,0.00331901874830172,0.996680981251698,97237.8102369903,322.734115220376,485382.2158969,4421339.5745738,45.4693453482551
Lee-Carter Projected,2023.25,Males,35,5,0.00117321021059932,0.0058488960914585,0.994151103908542,96915.0761217699,566.846209932022,483158.265084019,3935957.3586769,40.6124363327284
Lee-Carter Projected,2023.25,Males,40,5,0.0018263141240389,0.00909006732433722,0.990909932675663,96348.2299118379,875.811896479328,479551.619817991,3452799.09359288,35.836663493998
Lee-Carter Projected,2023.25,Males,45,5,0.00249328330397146,0.0123891921052928,0.987610807894707,95472.4180153585,1182.82612754909,474405.02475792,2973247.47377489,31.1424758645643
Lee-Carter Projected,2023.25,Males,50,5,0.00640650587029013,0.0315275753599026,0.968472424640097,94289.5918878094,2972.72221389737,464016.153904304,2498842.44901697,26.5017845446847
Lee-Carter Projected,2023.25,Males,55,5,0.0105724006113443,0.0515007857108855,0.948499214289115,91316.8696739121,4702.890536865,444827.122027398,2034826.29511267,22.2831367564277
Lee-Carter Projected,2023.25,Males,60,5,0.0174095956571643,0.0834173235991609,0.916582676400839,86613.9791370471,7225.10632588603,415007.12987052,1589999.17308527,18.3573043165406
Lee-Carter Projected,2023.25,Males,65,5,0.025757047770467,0.120994111103256,0.879005888896744,79388.872811161,9605.58609727584,372930.398812616,1174992.04321475,14.8004626039931
Lee-Carter Projected,2023.25,Males,70,5,0.0436128768631531,0.196625838147646,0.803374161852354,69783.2867138852,13721.1972388152,314613.440472388,802061.644402136,11.4936065950953
Lee-Carter Projected,2023.25,Males,75,5,0.0704021857721125,0.299327630276867,0.700672369723133,56062.08947507,16780.9323909424,238358.116397994,487448.203929747,8.69479194396614
Lee-Carter Projected,2023.25,Males,80,Inf,0.157698596011454,1,0,39281.1570841276,39281.1570841276,249090.087531753,249090.087531753,6.34121054525666
